Organisation Name,Identifying Details,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
KINETIC TCO PTY LTD,20 601 251 067,"56,623","1,224","813,098",-
KNAUF AUSTRALIA PTY LIMITED,86 003 621 181,"44,798","16,504","930,765",-
LA TROBE UNIVERSITY,64 804 735 113,"14,129","43,713","423,007",-
LACTALIS AUSTRALIA PTY LTD,56 072 928 879,"34,357","97,422","1,069,785",-
LAING O'ROURKE AUSTRALIA PTY LTD,71 111 023 431,"62,277","3,200","917,601",-
LANCO RESOURCES AUSTRALIA PTY LTD,30 147 835 452,"67,460","6,304","919,691",-
LENDLEASE CORPORATION LIMITED,32 000 226 228,"93,142","148,815","2,020,435",-
LIBERTY HOLDINGS AUSTRALIA LTD,16 627 011 938,"270,455","858,523","7,499,688",-
LIBERTY PRIMARY METALS AUSTRALIA PTY LTD,29 631 112 573,"3,824,173","277,308","33,107,741",-
LINDSAY AUSTRALIA LIMITED,81 061 642 733,"111,536","9,194","1,626,237",-
LINFOX PROPRIETARY LIMITED,59 004 667 298,"182,221","35,387","2,753,271",-
LION PTY LTD,50 128 004 268,"72,792","163,716","2,055,498",-
LITTLE COMPANY OF MARY HEALTH CARE LIMITED,11 079 815 697,"101,111","30,748","1,666,570",-
LOCHARD ENERGY (IONA OPERATIONS HOLDING) PTY LTD,23 608 441 041,"64,838","4,289","1,147,778",-
LOY YANG HOLDINGS PTY LTD,60 057 361 805,"444,053",0,"4,913,662",-
LYONDELLBASELL AUSTRALIA (HOLDINGS) PTY LTD,74 066 270 237,3,"70,996","207,114",-
MACH AUSTRALIA HOLDINGS PTY LTD,66 608 494 828,"185,921","2,124","623,350",-
 VCB,12 057 463 671,"130,550","7,316","17,081,090",-
MAINFREIGHT DISTRIBUTION PTY LIMITED,85 003 840 319,"57,335","6,319","842,564",-
MANILDRA MILLING PTY LTD,73 002 724 021,"304,262","287,440","6,464,672",-
MARS WRIGLEY AUSTRALIA HOLDINGS PTY LTD,68 133 509 930,"27,110","72,408","787,987",-
MATER MISERICORDIAE LTD,83 096 708 922,"12,587","42,727","354,746",-
MCCAIN FOODS (AUST) PTY LTD,96 000 629 587,"26,867","64,899","1,163,432",-
MCDONALD'S AUSTRALIA LIMITED,43 008 496 928,347,"86,036","376,174",-
MELBOURNE WATER CORPORATION,81 945 386 953,"204,480","226,973","1,497,911",-
METALS X LIMITED,25 110 150 055,"65,853",65,"1,229,100",-
METCASH LIMITED,32 112 073 480,"14,110","71,132","446,028",-
METRO TRAINS MELBOURNE PTY. LTD.,43 136 429 948,"6,135","499,744","1,777,515",-
MILLENNIUM MINERALS LIMITED,85 003 257 556,"56,392",51,"806,701",-
MINDARIE REGIONAL COUNCIL,17 015 003 687,"62,790",0,"11,739",-
MINERAL RESOURCES LIMITED,33 118 549 910,"218,290","2,371","3,323,734",-
MINJAR GOLD PTY LTD,15 119 514 528,"40,369","57,690","864,185",-
MIRVAC LIMITED,92 003 280 699,"5,988","77,890","452,242",-
MMG MANAGEMENT PTY LTD,33 115 312 680,"27,874","115,569","1,489,876",-
MONASH HEALTH,82 142 080 338,"12,169","67,317","466,345",-
MONASH UNIVERSITY,12 377 614 012,"18,406","115,491","744,868",-
MONDELEZ AUSTRALIA HOLDINGS PTY LIMITED,86 004 880 817,"22,371","49,652","691,079",-
MOUNT GIBSON IRON LIMITED,87 008 670 817,"55,403","1,524","802,392",-
MYER HOLDINGS LIMITED,14 119 085 602,"1,194","126,416","563,716",-
NATIONAL AUSTRALIA BANK LIMITED,12 004 044 937,"13,794","87,832","576,376",-
NBN CO LIMITED,86 136 533 741,"4,932","258,767","1,186,175",-
NCIG HOLDINGS PTY LTD,98 124 700 483,349,"65,909","295,258",-
NESTLE AUSTRALIA LTD,77 000 011 316,"33,776","109,772","1,463,989",-
NEW CENTURY RESOURCES LIMITED,53 142 165 080,"14,943","123,058","766,219",-
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23 003 502 654,"120,929","130,429","2,780,111",-
NEWCREST MINING LIMITED,20 005 683 625,"594,591","900,966","14,462,961",-
NEWGEN KWINANA HOLDINGS PTY LTD,68 116 576 955,"793,003",156,"8,539,462",-
NEWMARKET GOLD VICTORIAN HOLDINGS PTY LTD,21 128 442 375,"22,626","121,635","753,104",-
NEWMONT GOLDCORP AUSTRALIA PTY LTD,95 099 040 507,"394,203","714,204","9,532,978",-
NEWS AUSTRALIA HOLDINGS PTY LIMITED,32 105 197 028,"4,728","91,043","476,499",-
NEXTDC LIMITED,35 143 582 521,393,"198,025","793,264",-
NH FOODS AUSTRALIA PTY LTD,87 001 548 401,"45,472","47,367","818,311",-
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,60 122 203 892,"5,613","53,922","323,631",-
NOGA HOLDINGS PTY LIMITED,33 609 551 671,"142,797",0,"1,942,053",-
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED,50 003 902 985,"236,080","623,226","8,264,320",-
NORTHERN CO-OPERATIVE MEAT COMPANY LTD,42 060 208 366,"40,825","22,511","289,642",-
NORTHERN SEQ DISTRIBUTOR - RETAILER AUTHORITY,89 791 717 472,"16,296","53,244","272,073",-
NORTHERN STAR RESOURCES LTD,43 092 832 892,"198,980","126,151","3,878,722",-
NORTON GOLD FIELDS PTY LTD,23 112 287 797,"54,500","65,458","1,129,144",-
NRG VICTORIA I PTY LTD,26 076 286 578,"7,868,001","49,198","58,743,976",-
NSW ELECTRICITY NETWORKS OPERATIONS PTY LIMITED, 609 169 959,"13,975","1,642,718","7,268,543",-
NSW TRAINS,50 325 560 455,"61,864","165,951","1,611,927",-
NUFARM LIMITED,37 091 323 312,"11,020","43,585","351,257",-
NYRSTAR AUSTRALIA PTY LTD,46 124 535 468,"412,513","286,885","10,051,581",-
OLAM ORCHARDS AUSTRALIA PTY LTD,15 139 442 532,"12,641","92,366","499,175",-
ORICA LIMITED,24 004 145 868,"1,754,798","165,778","18,752,084",-
ORIGIN ENERGY LIMITED,30 000 051 696,"17,955,701","2,288,632","150,739,935",-
ORORA LIMITED,55 004 275 165,"355,130","324,836","7,333,821",-
OSIRIS HOLDINGS PTY LTD,29 168 919 391,"2,154","75,944","352,502",-
OVATO LIMITED,39 050 148 644,"18,964","85,370","701,324",-
OWENS-ILLINOIS HOLDING (AUSTRALIA) PTY LTD,30 002 060 059,"292,934","195,018","5,110,239",-
OZ MINERALS LIMITED,40 005 482 824,"77,271","176,627","2,373,042",-
OZGEN HOLDINGS AUSTRALIA PTY LTD,34 128 655 096,"10,828,784","32,953","76,074,288","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and OZGEN HOLDINGS AUSTRALIA PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2017-18 greenhouse and energy information for designated generation facilities."
PACT GROUP HOLDINGS LTD,55 145 989 644,"17,380","235,534","1,334,270",-
PAPER AUSTRALIA PTY LTD,63 061 583 533,"349,922","298,809","16,217,639",-
PEABODY AUSTRALIA HOLDCO PTY LTD,61 154 820 130,"2,656,851","228,678","10,927,577",-
PECHINEY CONSOLIDATED AUSTRALIA PTY LIMITED,39 076 569 769,"1,185,710","6,888,271","40,823,893",-
PEPSICO FOODS GROUP PTY LTD,71 122 527 137,"27,291","26,838","656,126",-
PERILYA LIMITED,85 009 193 695,"14,772","137,763","844,154",-
PERTH ENERGY PTY LTD,39 087 386 445,"61,160","1,443","835,437",-
PFD FOOD SERVICES PTY LTD,29 006 972 381,"31,652","40,677","609,014",-
PFG TOPCO1 PTY LIMITED,35 604 317 875,"6,198","72,468","397,001",-
PILBARA MINERALS LIMITED,95 112 425 788,"56,942",62,"815,571",-
PIONEER SAIL HOLDINGS PTY LIMITED,45 617 844 569,"10,776,121","11,639","92,417,404",-
PORT WARATAH COAL SERVICES LTD,99 001 363 828,368,"118,451","525,349",-
POWER AND WATER CORPORATION,15 947 352 360,"112,433","104,898","1,517,046",-
POWER GENERATION CORPORATION,72 687 980 755,"973,885",0,"13,326,900",-
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,43 104 958 581,"410,216","891,267","21,423,642",-
PTH NO 1 PTY LTD,43 611 116 155,"33,901","45,408","677,350",-
PTTEP AUSTRALIA PERTH PTY LTD,74 134 686 525,"280,704",373,"3,808,103",-
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61 850 109 576,"8,150","147,736","877,654",-
PUMA ENERGY (AUSTRALIA) HOLDINGS PTY LTD,26 147 978 890,"28,155","30,260","585,096",-
QANTAS AIRWAYS LIMITED,16 009 661 901,"4,289,414","120,879","63,565,442",-
QCOAL PTY LTD,99 010 911 234,"472,635","43,446","3,443,710",-
QENOS HOLDINGS PTY LTD,62 086 026 968,"827,708","166,216","33,202,959",-
QGC MIDSTREAM INVESTMENTS PTY LTD,77 130 857 215,"1,786,152",0,"33,135,824",-
QGC UPSTREAM INVESTMENTS PTY LTD,86 131 104 651,"1,202,751","2,481,470","26,113,370",-
QIC LIMITED,95 942 373 762,"14,378","126,420","698,080",-
QS MAPS HOLDINGS NO. 3 PTY LTD,38 163 278 500,"65,998",353,"1,039,440",-
QUBE HOLDINGS LIMITED,14 149 723 053,"310,656","20,949","4,520,672",-
QUEENSLAND ALUMINA LIMITED,98 009 725 044,"3,192,846","580,477","42,128,488",-
QUEENSLAND BULK WATER SUPPLY AUTHORITY,75 450 239 876,"2,376","106,684","513,888",-
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82 078 849 233,"16,879","1,134,695","5,138,856",-
QUEENSLAND NITRATES PTY LTD,63 079 889 268,"151,291","45,803","2,874,892",-
QUEENSLAND RAIL,68 598 268 528,"38,238","237,724","1,617,792",-
R.G. WITHERS NOMINEES PTY. LTD.,005 620 860,709,"127,270","524,548",-
RAMELIUS RESOURCES LIMITED,51 001 717 540,"86,460","41,409","1,585,042",-
RAMSAY HEALTH CARE LIMITED,57 001 288 768,"17,964","158,426","1,026,045",-
RATCH - AUSTRALIA CORPORATION PTY LTD,31 106 617 332,"157,814","6,800","2,142,993",-
RCI HOLDINGS PTY LTD,55 101 671 121,"34,797","63,875","878,524",-
REGIONAL EXPRESS HOLDINGS LIMITED,18 099 547 270,"115,746","1,559","1,655,910",-
REGIONAL POWER CORPORATION,57 955 011 697,"45,516","28,587","755,337",-
REGIS RESOURCES LIMITED,28 009 174 761,"230,840",0,"3,339,683",-
REMONDIS AUSTRALIA PTY LTD,95 002 429 781,"240,879","2,679","481,222",-
RESOLUTE MINING LIMITED C/- COMPUTERSHARE INVESTOR SERVICES,39 097 088 689,"15,777","56,578","483,417",-
RESOURCECO HOLDINGS PTY LTD,64 107 343 288,"60,965","3,434","275,110",-
RICEGROWERS LIMITED,55 007 481 156,"9,412","50,609","385,456",-
RIDLEY CORPORATION LIMITED,33 006 708 765,"55,111","62,780","1,295,915",-
RIO TINTO LIMITED,96 004 458 404,"7,550,622","7,841,839","143,725,930",-
RIO TINTO SHIPPING (ASIA) PTE LTD,71 242 047 864,"107,997",0,"1,459,435",-
RITCHIES STORES PROPRIETARY LIMITED,61 005 041 814,"26,529","84,550","325,842",-
RIVALEA HOLDINGS PTY LIMITED,37 097 393 112,"26,032","29,475","398,552",-
ROMALY HOLDINGS PTY LTD,82 001 094 837,"62,684",353,"891,210",-
RON FINEMORE TRANSPORT PTY. LTD.,30 106 495 087,"80,301",396,"1,142,756",-
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY,49 781 030 034,"18,180","31,878","457,113",-
RTA HOLDCO AUSTRALIA 1 PTY LTD,17 128 762 318,"119,736",0,"1,452,221",-
SANDFIRE RESOURCES NL,55 105 154 185,"89,153",72,"1,359,108",-
SANTOS LIMITED,80 007 550 923,"5,819,284","530,343","72,610,581",-
SARACEN MINERAL HOLDINGS LIMITED,52 009 215 347,"177,909",62,"2,882,439",-
SCENTRE GROUP LIMITED,66 001 671 496,"14,806","262,147","1,249,457",-
SEAROAD HOLDINGS PTY LTD,16 123 749 655,"62,369",959,"879,925",-
SGSP (AUSTRALIA) ASSETS PTY LTD,60 126 327 624,"742,768","351,344","7,994,342",-
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,69 054 260 776,"2,317,273","1,713","36,421,445",-
SIBELCO ASIA PACIFIC PTY LTD,70 092 916 811,"519,940","197,207","3,978,733",-
SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73 009 401 736,"107,928","419,640","5,118,262",-
SILVER LAKE RESOURCES LIMITED,38 108 779 782,"109,308","21,168","1,788,144",-
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED,23 070 571 934,"70,753","40,651","1,609,179",-
SIMS LIMITED,69 114 838 630,"19,438","31,651","417,900",-
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69 096 686 190,"2,502","407,264","1,776,034",-
SNOWY HYDRO LIMITED,17 090 574 431,"103,078","297,819","2,718,046",-
SOJITZ COAL RESOURCES PTY LIMITED,34 063 050 680,"81,484",791,"1,234,180",-
SOLSTADFARSTAD PTY LTD,40 105 011 989,"81,097",26,"1,151,573",-
SONIC HEALTHCARE LIMITED,24 004 196 909,"8,380","58,276","388,645",-
SOUTH AUSTRALIAN WATER CORPORATION,69 336 525 019,"92,663","249,214","2,687,012",-
SOUTH METROPOLITAN HEALTH SERVICE,92 264 056 442,"9,734","42,782","431,119",-
SOUTH32 LIMITED,84 093 732 597,"6,566,494","495,233","61,324,847",-
ST BARBARA LIMITED,36 009 165 066,"67,606","1,174","1,207,198",-
ST JOHN OF GOD HEALTH CARE INC,21 930 207 958,"13,502","62,305","530,278",-
ST VINCENT'S HEALTH AUSTRALIA LTD,75 073 503 536,"11,420","92,261","592,247",-
STANMORE COAL LIMITED,27 131 920 968,"109,886","27,772","891,545",-
STANWELL CORPORATION LIMITED,37 078 848 674,"18,090,506","55,309","133,767,941",-
STATE TRANSIT AUTHORITY OF NSW,51 750 635 629,"112,221","4,680","1,742,014",-
STOCKLAND CORPORATION LTD,43 000 181 733,"24,225","70,921","701,726",-
SUEZ AUSTRALIA HOLDING PTY LTD,30 070 452 890,"696,300","161,106","2,512,289",-
SUN METALS HOLDINGS LIMITED,30 051 538 580,"5,710","535,756","3,226,667",-
SUNWATER LIMITED,17 020 276 523,"4,257","172,471","836,237",-
SUPER RETAIL GROUP LIMITED,81 108 676 204,814,"71,081","322,980",-
SVITZER AUSTRALASIA SERVICES PTY LIMITED,18 120 555 375,"61,012","2,473","876,234",-
SYDNEY AIRPORT LIMITED,18 165 056 360,"5,755","77,865","443,782",-
SYDNEY TRAINS,38 284 779 682,"10,633","535,116","2,489,393",-
SYDNEY WATER CORPORATION,49 776 225 038,"52,963","306,042","2,406,557",-
TASMANIAN NETWORKS PTY LTD,24 167 357 299,"7,346","92,225","1,807,435",-
TECHNICAL AND FURTHER EDUCATION COMMISSION,89 755 348 137,"6,357","69,577","418,494",-
TEEKAY HOLDINGS AUSTRALIA PTY LTD,12 125 391 880,"72,654",157,"996,520",-
TELSTRA CORPORATION LIMITED,33 051 775 556,"46,655","1,190,183","5,821,710",-
TERRACOM LIMITED,35 143 533 537,"77,290","17,693","431,915",-
TEYS AUSTRALIA PTY LTD,38 009 872 600,"111,341","108,419","1,587,067",-
THALES AUSTRALIA HOLDINGS PTY LTD,84 058 583 841,"39,090","46,325","516,400",-
THE STAR ENTERTAINMENT GROUP LIMITED,85 149 629 023,"11,544","95,875","645,233",-
THE TRUSTEE FOR COSTA'S UNIT TRUST,72 534 822 931,"55,102","87,273","1,048,843",-
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST,63 604 564 597,"95,198",312,"525,081",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (NSW),77 005 284 605,"5,784","47,853","305,027",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25 548 385 225,"12,468","75,965","535,063",-
THE UNIVERSITY OF QUEENSLAND,63 942 912 684,"1,693","109,493","550,063",-
TOGA PTY. LTD.,27 000 926 947,"6,791","50,324","353,372",-
TOLL HOLDINGS LIMITED,25 006 592 089,"512,938","60,839","7,490,048",-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,40 062 135 844,"937,068",70,"12,358,486",-
TRANSDEV AUSTRALASIA PTY LTD,40 079 303 816,"125,825","8,305","1,889,038",-
TRANSIT SYSTEMS PTY LTD,34 135 200 609,"161,499","4,530","2,559,187",-
TRANSURBAN HOLDINGS LIMITED,86 098 143 429,"2,329","117,629","529,214",-
TRILITY GROUP PTY LTD,39 144 522 565,"15,078","69,476","563,808",-
TRONOX AUSTRALIND PTY LTD,20 125 123 784,"123,331","40,474","2,490,330",-
TRONOX MANAGEMENT PTY LTD,59 009 343 364,"573,337","105,741","10,348,439",-
TRONOX MINERAL HOLDINGS AUSTRALIA PTY LTD,21 102 888 559,"83,775","64,829","1,491,726",-
TT-LINE COMPANY PTY. LTD.,39 061 996 174,"165,387",885,"2,234,863",-
TWENTIETH SUPER PACE NOMINEES PTY. LTD.,16 005 855 327,"126,259","6,097","1,821,808",-
UNIVERSITY OF MELBOURNE,84 002 705 224,"16,449","130,977","768,705",-
UNIVERSITY OF NEW SOUTH WALES,57 195 873 179,"7,712","76,483","487,471",-
UNIVERSITY OF SYDNEY,15 211 513 464,"7,440","95,553","562,611",-
USG BORAL BUILDING PRODUCTS PTY LIMITED,84 004 231 976,"83,583","44,143","1,824,078",-
V/LINE CORPORATION,91 273 289 190,"129,126","16,721","1,889,040",-
VENTIA SERVICES GROUP PTY LIMITED,53 603 253 541,"69,909","5,716","1,046,513",-
VENTURA MOTORS PROPRIETARY LIMITED,67 004 235 518,"53,206","2,252","769,310",-
VEOLIA WATER AUSTRALIA PTY LTD,99 061 161 279,"62,905","153,648","1,532,060",-
VERMILION OIL & GAS AUSTRALIA PTY LTD,29 113 023 591,"70,529",129,"814,487",-
VICINITY LIMITED,90 114 757 783,"4,845","170,052","785,845",-
VICTORIA POWER NETWORKS PTY LTD,37 116 940 820,"28,956","1,164,849","4,278,492",-
VILLAGE ROADSHOW LIMITED,43 010 672 054,"4,157","55,316","299,614",-
VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226,"2,597,936","4,881","37,029,198",-
VIVA ENERGY AUSTRALIA GROUP PTY LTD,60 004 400 220,"1,113,911","317,082","13,514,739",-
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED,76 096 304 620,39,"173,063","759,696",-
WA COUNTRY HEALTH SERVICE,28 680 145 816,"8,074","46,550","368,894",-
WAGGA WAGGA CITY COUNCIL,56 044 159 537,"65,381",32,"5,485",-
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,49 000 002 728,"641,225","95,583","5,110,050",-
WASTE ASSETS MANAGEMENT CORPORATION,56 784 733 957,"244,531","1,426","8,851",-
WATER CORPORATION,28 003 434 917,"73,951","505,459","3,062,488",-
WATER NSW,21 147 934 787,"2,030","63,770","308,908",-
WESFARMERS LIMITED,28 008 984 049,"877,870","668,423","18,163,790",-
WESTERN AREAS LIMITED,68 091 049 357,"20,370","45,735","534,358",-
WESTGOLD RESOURCES LIMITED,60 009 260 306,"161,368","16,213","2,412,646",-
WESTPAC BANKING CORPORATION,33 007 457 141,"6,551","107,450","554,103",-
WHITEHAVEN COAL LIMITED,68 124 425 396,"1,515,432","105,575","6,133,746",-
WILMAR AUSTRALIA HOLDINGS PTY LIMITED,79 144 972 743,"160,392","50,026","44,181,723",-
WILMAR GF HOLDINGS AUSTRALIA PTY LTD,55 600 457 430,"18,606","39,429","515,423",-
WINDFIELD HOLDINGS PTY LTD,60 160 456 164,"36,844","42,187","750,438",-
WOLLONGONG COAL LIMITED,28 111 244 896,"94,182","20,126","104,433",-
WOODSIDE PETROLEUM LTD.,55 004 898 962,"9,218,208","9,602","143,230,969",-
WOOLWORTHS GROUP LIMITED,88 000 014 675,"491,994","2,056,567","9,535,389",-
YANCOAL AUSTRALIA LIMITED,82 111 859 119,"2,190,524","480,358","16,384,677",-
YARA AUSTRALIA PTY LTD,77 076 301 221,"1,015,565","9,558","20,416,670",-
